
Feature: breadth , Entropy= 0.03569647458239714
Feature: pill , Entropy= 0.03569647458239714
Feature: chilly , Entropy= 0.03569647458239714
Feature: frustrations , Entropy= 0.03569647458239714
Feature: investigators , Entropy= 0.03569647458239714
Feature: executor , Entropy= 0.03569647458239714
Feature: morphophonemic , Entropy= 0.03569647458239714
Feature: flow , Entropy= 0.03456480378035808
Feature: order , Entropy= 0.03516010182472293
Feature: gory , Entropy= 0.03569647458239714
Feature: protecting , Entropy= 0.03569647458239714
Feature: cli , Entropy= 0.03569647458239714
Feature: clk , Entropy= 0.03569647458239714
Feature: ceylon , Entropy= 0.03569647458239714
Feature: pike , Entropy= 0.03569647458239714
Feature: floc , Entropy= 0.03569647458239714
Feature: snagging , Entropy= 0.03569647458239714
Feature: eider , Entropy= 0.03569647458239714
Feature: reform , Entropy= 0.03569647458239714
Feature: angular , Entropy= 0.03569647458239714
Feature: malevolent , Entropy= 0.03569647458239714
Feature: administrate , Entropy= 0.03569647458239714
Feature: homage , Entropy= 0.03569647458239714
Feature: women , Entropy= 0.03569647458239714
Feature: pink , Entropy= 0.03569647458239714
Feature: woman , Entropy= 0.03569647458239714
Feature: ping , Entropy= 0.03569647458239714
Feature: protection , Entropy= 0.03569647458239714
Feature: rosy , Entropy= 0.03569647458239714
Feature: avail , Entropy= 0.03569647458239714
Feature: equilibria , Entropy= 0.03569647458239714
Feature: gaming , Entropy= 0.03569647458239714
Feature: hastings , Entropy= 0.03561414021831618
Feature: question , Entropy= 0.03555155869029283
Feature: additions , Entropy= 0.03569647458239714
Feature: ross , Entropy= 0.03569647458239714
Feature: intellectual , Entropy= 0.03569647458239714
Feature: picture , Entropy= 0.03567600787130488
Feature: comparator , Entropy= 0.03569647458239714
Feature: rory , Entropy= 0.03569647458239714
Feature: fundraise , Entropy= 0.03569647458239714
Feature: apparat , Entropy= 0.03569647458239714
Feature: tenderloin , Entropy= 0.03569647458239714
Feature: cob , Entropy= 0.035655463634421763
Feature: cod , Entropy= 0.03569647458239714
Feature: rose , Entropy= 0.03569647458239714
Feature: thousand , Entropy= 0.03569647458239714
Feature: com , Entropy= 0.0352495665048329
Feature: col , Entropy= 0.03569647458239714
Feature: coo , Entropy= 0.03569647458239714
Feature: con , Entropy= 0.03569647458239714
Feature: cos , Entropy= 0.03569647458239714
Feature: compendia , Entropy= 0.03569647458239714
Feature: cor , Entropy= 0.03569647458239714
Feature: findings , Entropy= 0.03567600787130488
Feature: cow , Entropy= 0.03569647458239714
Feature: alden , Entropy= 0.03569647458239714
Feature: coy , Entropy= 0.03569647458239714
Feature: madman , Entropy= 0.03569647458239714
Feature: bridgehead , Entropy= 0.03569647458239714
Feature: cox , Entropy= 0.03569647458239714
Feature: homicide , Entropy= 0.03569647458239714
Feature: eccles , Entropy= 0.03569647458239714
Feature: butyric , Entropy= 0.03569647458239714
Feature: redeliveries , Entropy= 0.035634841282193824
Feature: pipe , Entropy= 0.03546697728901745
Feature: representative , Entropy= 0.035634841282193824
Feature: pigeon , Entropy= 0.03569647458239714
Feature: actress , Entropy= 0.03569647458239714
Feature: circumstances , Entropy= 0.03569647458239714
Feature: timed , Entropy= 0.03569647458239714
Feature: enquiries , Entropy= 0.03569647458239714
Feature: baltic , Entropy= 0.03569647458239714
Feature: gove , Entropy= 0.03569647458239714
Feature: cpu , Entropy= 0.03569647458239714
Feature: plenty , Entropy= 0.03569647458239714
Feature: christmas , Entropy= 0.03569647458239714
Feature: gout , Entropy= 0.03569647458239714
Feature: scription , Entropy= 0.03569647458239714
Feature: plenum , Entropy= 0.03569647458239714
Feature: specialized , Entropy= 0.03567600787130488
Feature: became , Entropy= 0.03569647458239714
Feature: chicken , Entropy= 0.03569647458239714
Feature: mailman , Entropy= 0.03569647458239714
Feature: isomorph , Entropy= 0.03569647458239714
Feature: unclaimed , Entropy= 0.03569647458239714
Feature: carbondale , Entropy= 0.03569647458239714
Feature: childbirth , Entropy= 0.03569647458239714
Feature: aldermen , Entropy= 0.03569647458239714
Feature: effective , Entropy= 0.03548824662026776
Feature: times , Entropy= 0.03561414021831618
Feature: muscle , Entropy= 0.03569647458239714
